stt,ten_sp,gia_ban,doanh_so_365,so_luong_ban_365,tong_doanh_so,tong_luot_ban,tong_danh_gia,brand,phan_khuc_gia,pct_doanh_so,ti_le_danh_gia
172,Mì trộn xốt tương đen Jin Jjajang Ramen Ottogi gói 135g(MÌ XỐT TƯƠNG ĐEN (VN) 135g),18900,59004050,3256,220576958,11932,10,Ottogi,Rẻ (<50k),0.02,0.0008
173,Tỏi Bột Tự Nhiên Vipep Hũ Nhựa 600g - Gia vị Vipep,151000,58998880,5320,121944260,1089,1780,Vipep,Cao (>150k),0.02,1.6345
174,Gia vị tần hầm lẩu (tiềm) Natural DH Foods nêm sẵn thành phần tự nhiên gói 53gr - DHGVT98,33753,58583968,2211,111222683,4209,3340,Dh Foods,Rẻ (<50k),0.02,0.7935
175,"Combo 3 Gói Nước Dùng Lẩu Thái Barona 180g, tặng tiêu hạt",99351,58299852,6050,80117953,8310,1270,Barona,Trung (50-150k),0.02,0.1528
176,"Sốt me chua cay Thích cay, xào cút lộn, ốc, hải sản 250ml",68000,58083600,7550,109532300,1417,3120,Unknown,Trung (50-150k),0.02,2.2018
177,[Mua 3 được 6] Mua 3 chai nước tương shiitake tặng 3 chai nước mắm chay shiitake chai nhựa cao cấp 525ml Làng Chài Xưa,358000,57594000,1600,144975100,4030,1030,Làng Chài Xưa,Cao (>150k),0.02,0.2556
178,"Combo 3 hũ sốt trứng muối hoàng kim Thích Cay 150g dùng cho các món ốc, hải sản",179000,56926000,3180,56926000,3180,510,THÍCH CAY,Cao (>150k),0.02,0.1604
179,"Sốt gỏi cay tiện lợi Thích Cay 120ml dùng trộn gỏi, salad chỉ trong 5 phút",49000,56282800,115,81075620,1659,4030,THÍCH CAY,Rẻ (<50k),0.02,2.4292
180,Xốt mayonnaise Ottogi 3KG,255110,56176000,2400,103837100,4450,770,Ottogi,Cao (>150k),0.02,0.173
181,Xốt Muối Kim Chi Hàn Quốc Barona 2 gói x 180g (tặng hũ thủy tinh cao cấp),73000,5603200014,7680,467841600,6582,2141,Barona,Trung (50-150k),2.2,0.3253
182,Nước Dùng Lẩu Riêu Cua Barona 230g tươi ngon chuẩn vị không cần nêm nếm,37905,55386825,1463,213904406,5676,7430,Barona,Rẻ (<50k),0.02,1.309
183,Mì Tương Đen Bắc Kinh Ottogi (5 Gói),64500,54712080,9830,177577780,3215,7390,Ottogi,Trung (50-150k),0.02,2.2986
184,Sốt XO Lee Kum Kee 220g,368000,54680000,1370,87894500,2200,280,Lee Kum Kee,Cao (>150k),0.02,0.1273
185,"Muối ớt đỏ chanh tắc cao cấp Làng Chài Xưa, nguyên liệu tươi, thơm ngon đặc biệt, chai thủy tinh 300gr",63000,54273900,8600,94883900,1504,3070,Làng Chài Xưa,Trung (50-150k),0.02,2.0412
186,"[Combo 20 gói] Sốt ướp thịt Hàn Quốc OFood gói 80g, giúp thị mềm, ngọt, thơm dậy vị dùng cho 400g thịt",220000,54032000,3210,123212000,7320,1620,O'food,Cao (>150k),0.02,0.2213
187,"[COMBO 4 CHAI] Mắm nêm pha sẵn cao cấp Làng Chài Xưa, nguyên liệu tươi, thơm ngon đặc biệt, chai thủy tinh 300g",238000,53990000,2250,62388000,2600,660,Làng Chài Xưa,Cao (>150k),0.02,0.2538
188,Viên Gia Vị Phở Bò Ông Chà Và Gold 126g (Beef Pho Broth Cubes),19000,53778000,3152,100026000,5929,5290,Ông Chà Và,Rẻ (<50k),0.02,0.8922
189,Lốc 10 Chai Nước Mắm Tĩn Mini Du Lịch 40N 60ml/chai Rin Nguyên Chất Truyền Thống,250000,53584000,2160,89006000,3590,850,Nước Mắm Tĩn,Cao (>150k),0.02,0.2368
190,Mì Tương Đen Bắc Kinh Ottogi 83g,7600,53459000,6851,114603731,14696,1483,Ottogi,Rẻ (<50k),0.02,0.1009
191,Thùng Mì Jin Cay 120gx20,255000,53344000,2140,109397000,4400,1140,Ottogi,Cao (>150k),0.02,0.2591
192,"Gia Vị Bún Bò Huế Barona 110g, Mua 3 gói Tặng 1 gói Gia Vị Hủ Tiếu Hoàn Chỉnh Barona 110g",54000,52743600,1067,143570220,2915,5800,Barona,Trung (50-150k),0.02,1.9897
193,Muối ớt chanh Nha Trang DH Foods gia vị nước sốt chấm hải sản đồ nướng 120/200gr - DHSCH05,19505,51841235,3215,133456708,8303,1438,Dh Foods,Rẻ (<50k),0.02,0.1732
194,Nước Chấm Muối Ớt Xanh Thích Cay 250ml Nước Chấm Hải Sản Mù Tạt Sốt Chấm Lẩu Cay Nồng,59000,51727010,8800,251364925,4309,1154,Unknown,Trung (50-150k),0.02,0.2678
195,Nước Mắm Thuận Phát Cá Cơm Than 740ml - Với 16 dưỡng chất,36000,51024151,1307,76376144,1956,2420,THUẬN PHÁT,Rẻ (<50k),0.02,1.2372
